order_item_id,product_id,order_id,ordered_quantity,order_quantity_accepted,rate,Potential sale,Actual Sale,Difference
62762,8425,120192,1,0,4007,4007,0,4007
62763,11106,120192,2,0,4116,8232,0,8232
62764,1038,120195,2,2,6988,13976,13976,0
62765,1038,120195,2,2,6854,13708,13708,0
62766,3610,120198,2,0,12364,24728,0,24728
62767,7607,120201,5,0,6203.4,31017,0,31017
62768,11907,120204,1,1,3932.25,3932.25,3932.25,0
62769,9915,120207,1,1,2579.8,2579.8,2579.8,0
62770,9915,120207,1,1,3043.22,3043.22,3043.22,0
62771,3284,120210,3,0,3306,9918,0,9918
62772,9915,120213,1,0,3183,3183,0,3183
62773,8425,120216,2,0,3522.2,7044.4,0,7044.4
62774,8425,120216,1,0,3619.5,3619.5,0,3619.5
62775,8147,120219,2,2,7360,14720,14720,0
62776,9925,120222,2,2,5577,11154,11154,0
62777,8425,120225,2,2,3522.2,7044.4,7044.4,0
62778,8425,120225,1,1,3619.5,3619.5,3619.5,0
62779,1039,120228,10,0,2478,24780,0,24780
62780,8664,120231,5,0,2288.2,11441,0,11441
62781,8664,120234,5,0,2288.2,11441,0,11441
62782,8464,120237,1,0,28423,28423,0,28423
62783,8438,120240,1,0,3324,3324,0,3324
62784,11146,120243,1,0,3868,3868,0,3868
62785,10531,120246,1,0,2203.5,2203.5,0,2203.5
62786,8116,120249,1,1,6466,6466,6466,0
62787,8221,120249,2,1,2779.67,5559.34,2779.67,2779.67
62788,8326,120249,1,0,3470.33,3470.33,0,3470.33
62789,3284,120252,2,2,3306,6612,6612,0
62790,3603,120252,1,1,5629,5629,5629,0
62791,12713,120255,1,1,2400,2400,2400,0
62792,8210,120258,1,0,12758,12758,0,12758
62793,7666,120261,1,0,10678,10678,0,10678
62794,7666,120261,1,0,10933,10933,0,10933
62795,7666,120261,1,0,5170,5170,0,5170
62796,1043,120264,1,1,5319.99,5319.99,5319.99,0
62797,12710,120267,5,0,9600,48000,0,48000
62798,8760,120270,1,0,2335,2335,0,2335
62799,8425,120273,50,0,3522.2,176110,0,176110
62800,9796,120276,5,0,2656.8,13284,0,13284
62801,8422,120279,2,0,5006,10012,0,10012
62802,8422,120282,2,0,5006,10012,0,10012
62803,9916,120285,5,0,2269.07,11345.35,0,11345.35
62804,8425,120288,1,1,4007,4007,4007,0
62805,8425,120288,1,1,4106,4106,4106,0
62806,11163,120291,1,0,3355,3355,0,3355
62807,7767,120294,1,0,735,735,0,735
62808,8221,120297,1,0,2726.15,2726.15,0,2726.15
62809,12676,120300,8,0,21315,170520,0,170520
62810,11155,120303,1,0,6725,6725,0,6725
62811,10235,120306,1,0,1368.99,1368.99,0,1368.99
62812,2105,120309,10,0,89.78,897.8,0,897.8
62813,3615,120312,1,0,3929.27,3929.27,0,3929.27
62814,3615,120315,1,0,4094.45,4094.45,0,4094.45
62815,9916,120318,1,0,2904.41,2904.41,0,2904.41
62816,8452,120318,1,0,6702,6702,0,6702
62817,11169,120318,1,0,5145,5145,0,5145
62818,11658,120321,1,0,1365,1365,0,1365
62819,10207,120324,1,0,4612,4612,0,4612
62820,1046,120327,5,0,4832,24160,0,24160
62821,1046,120327,5,0,2303,11515,0,11515
62822,8462,120330,1,0,7304,7304,0,7304
62823,8462,120330,1,0,7403,7403,0,7403
62824,1805,120333,1,0,18969,18969,0,18969
62825,1041,120336,1,0,4455,4455,0,4455
62826,1041,120336,1,0,4272,4272,0,4272
62827,3615,120339,2,0,4163,8326,0,8326
62828,3615,120339,1,0,4209,4209,0,4209
62829,8214,120342,1,0,3703.81,3703.81,0,3703.81
62830,8214,120342,1,0,3772.88,3772.88,0,3772.88
62831,8425,120345,1,0,3468,3468,0,3468
62832,8221,120348,1,0,2726.15,2726.15,0,2726.15
62833,8664,120351,5,0,2288.2,11441,0,11441
62834,9796,120351,5,0,2656.8,13284,0,13284
62835,10236,120354,2,0,1302.25,2604.5,0,2604.5
62836,11899,120357,1,0,11410,11410,0,11410
62837,8425,120360,1,0,3374,3374,0,3374
